Ext.ID,raw_count,unmapped_count,mapped_count,host_count,human_count,unmapped_avlength,mapped_avlength,p_Sediment.Soil,p_Skin,p_aOral,p_mOral,p_Unknown,classified,unclassified,Bacteria,Archaea,Eukaryota,Viruses,species_raw
HM_082,241,63,0,0,0,50.94,NA,NA,NA,NA,NA,NA,11.1,88.9,11.1,0,0,0,4
MV_239,35,16,0,0,0,46.31,NA,NA,NA,NA,NA,NA,12.5,87.5,12.5,0,0,0,2
HM_049,1067,635,1,1,0,55.75,30,NA,NA,NA,NA,NA,7.2,92.8,7.2,0,0,0,25
MS_058,180,128,18,18,0,73,63.89,NA,NA,NA,NA,NA,10.2,89.8,9.4,0,0.78,0,5
MS_051,1650,1443,27,24,3,52.86,69.19,0,0,0,0,100,17.3,82.7,17.2,0,0.07,0,40
MS_104,2966,2651,31,30,1,62.15,57.32,NA,NA,NA,NA,NA,11.7,88.3,11.4,0,0.19,0,84
MV_038,42482,36845,44,33,11,47.01,48.09,0,0,46.4,0,53.6,8.2,91.8,8.1,0,0.01,0,460
RB_005,5753,4546,37,36,1,42.06,38.7,NA,NA,NA,NA,NA,4.7,95.3,4.6,0.1,0.02,0,75
HM_017,9082,4545,42,40,2,36.98,35.45,NA,NA,NA,NA,NA,9.6,90.4,9.6,0,0,0,33
MS_053,3658,2471,52,52,0,43.85,51.88,NA,NA,NA,NA,NA,16.8,83.2,16.7,0,0,0,41
MV_049,818,499,65,65,0,53.68,50.98,NA,NA,NA,NA,NA,19.4,80.6,19.4,0,0,0,27
MV_289,575,378,65,65,0,51.92,59.05,NA,NA,NA,NA,NA,15.3,84.7,15.1,0,0.26,0,16
MV_046,2998,2379,72,72,0,48.48,50.89,NA,NA,NA,NA,NA,12.1,87.9,12.1,0,0,0,51
HM_018,101048,73211,126,122,4,42.92,40.84,26.7,4.6,3.7,3.7,61.3,17,83,17,0,0,0,467
HM_027,17833,3781,215,209,6,37.85,39.11,0,0,0,0,100,15.4,84.6,15.4,0,0,0,45
RM_117,475743,411330,293,214,79,44.93,40.43,1,7.9,37.5,37.6,16.1,4.4,95.6,4.4,0,0.01,0,2377
RM_124,1234707,1068449,328,221,107,45.45,41.01,8,7.7,27.3,30.8,26.3,5,95,5,0,0,0,4064
MV_169,951900,602731,503,342,161,39.46,38.61,1,6.1,35.2,45,12.7,6.7,93.4,6.6,0,0,0,2086
MV_225,559255,490657,602,430,172,47.76,44.81,15.8,1.3,23,16,44,9.7,90.3,9.7,0,0.01,0,3160
MV_109,846618,749968,475,442,33,45.72,47.92,3.8,4.9,32.5,30.8,27.9,10.1,89.9,10.1,0,0,0,2832
MV_240,7323,5502,486,469,17,43.7,44.28,NA,NA,NA,NA,NA,19.9,80.1,19.7,0,0.07,0,99
MS_060,1403553,1098584,2615,524,2091,46.62,48.77,0,1,1.2,4.1,93.7,2.9,97.1,2.8,0,0.05,0,2227
MV_243,6584,4826,708,666,42,43.5,43.62,NA,NA,NA,NA,NA,35.4,64.6,35.1,0,0.02,0,69
MV_131,269196,202219,683,670,13,41.47,41.57,2,5.7,41.4,35,15.8,9.8,90.3,9.7,0,0,0,974
MS_122,5655107,4282604,1062,705,357,47.75,40.68,13.6,3.9,26.7,26.4,29.3,17.9,82.1,17.9,0,0,0,5667
MV_120,425905,385298,843,819,24,44.66,43.63,1.3,8.8,31.9,36.8,21.3,9.2,90.8,9.2,0,0,0,1704
MV_102,624213,371063,897,836,61,42.26,40.67,1.8,7.2,27.5,30,33.4,6.6,93.4,6.5,0.1,0,0,1938
MV_288,26578,17985,942,874,68,42.79,45.41,0,0,0,0,100,15.6,84.5,15.5,0,0.04,0,223
HM_077,8338046,7457598,1038,908,130,55.03,42.21,3.8,1.3,23,11.8,60.1,3,97,3,0,0.01,0,7243
HM_008,10919,7465,943,926,17,47.14,45.77,48.9,0,0,0,51.1,35.1,64.9,34.8,0,0.16,0,291
RM_173,5194620,4739600,1776,929,847,55.64,52.43,0.6,0.3,79.3,15,4.8,7.8,92.2,7.7,0.1,0.01,0,7300
RM_053,8482,6670,996,948,48,54.89,49.46,NA,NA,NA,NA,NA,14.6,85.4,14.3,0.2,0.04,0,196
MV_002,317747,240844,1064,1024,40,42.13,42.54,26.4,6,12.3,9,46.3,16.5,83.5,16.5,0,0,0,1348
MS_038,1130770,961406,5079,1096,3983,51.53,57.67,3.2,2.1,1.1,5.2,88.4,4.8,95.2,4.6,0,0.17,0,2344
MV_041,231933,192803,1143,1127,16,43.2,44.13,0.5,10.2,33.2,45.1,11,8.8,91.2,8.7,0,0,0,1199
MS_103,64359,53388,1147,1136,11,48.62,49.3,63.9,20.4,0.3,0,15.4,15.3,84.7,15.3,0,0.02,0,756
HM_058,810461,508794,2398,1177,1221,41.24,48.51,13.8,4.3,1.3,6.3,74.2,9,91,8.9,0,0.06,0,1599
MV_005,26271,18892,1219,1212,7,57.46,61.45,0,0,0,0,100,12.1,87.9,11.9,0.1,0.04,0,373
DM_026,5440794,5083149,1517,1227,290,71.46,52.45,6.4,7.6,2.5,55.1,28.4,60.8,39.2,60.6,0.1,0,0,6975
MV_087,593059,343748,1353,1250,103,38.33,36.67,12,1.1,9.6,17.1,60.1,3.6,96.4,3.6,0,0,0,1296
RM_152,272250,186476,1462,1337,125,37.97,38.73,0,37.2,5.2,0,57.6,3.6,96.4,3.5,0.1,0.01,0,576
MV_236,24845,17308,1456,1350,106,41.85,42.62,0,6.2,16.4,77.4,0,9.5,90.5,9.4,0,0.09,0,210
HM_033,3694699,2616951,73556,1371,72185,56.11,71.6,5,2.9,23,14.4,54.7,7.9,92.1,3.6,3.7,0.62,0,5674
HM_037,3589738,3187312,1571,1447,124,48.96,44.74,5,4.6,25.1,20.6,44.8,5.3,94.7,4.8,0.5,0,0,7023
RM_114,4367832,4098633,1772,1477,295,55.27,47.9,5.5,5,22,22.4,45.2,17,83,17,0,0,0,7396
RM_169,671265,587991,1820,1590,230,42.2,42.18,1,8.6,33,38.9,18.6,5.3,94.7,4.3,1,0,0,2515
RM_120,406084,204300,1776,1705,71,44.25,42.68,0,0,0,0,100,7.2,92.8,7.1,0,0.01,0,1701
MV_029,16508,11419,1787,1771,16,41.4,45.56,NA,NA,NA,NA,NA,7.9,92.2,7.8,0,0.04,0,154
MV_175,9728749,8008526,2927,1931,996,48.98,43.41,1,1,64.5,27.5,6,9.8,90.2,9.8,0,0,0,7499
RM_179,7109014,6456479,2926,1989,937,54.66,49.55,0.4,0.3,81.9,14,3.3,7.7,92.3,7.5,0.2,0.01,0,7553
MV_122,164199,125522,2121,2079,42,40.51,42.45,1,9.4,42.8,40.4,6.4,8.1,92,8,0,0.01,0,622
HM_088,13834375,12286943,5453,2164,3289,56.81,64.19,4.3,1.3,19.2,11,64.2,3.3,96.7,3.3,0,0.01,0,8225
MV_027,374058,289485,2795,2750,45,41.77,43.17,2.6,6.3,39.1,38.9,13.1,11.4,88.6,11.4,0,0,0,1333
MV_020,130408,111755,2887,2868,19,50.66,59.51,1,8.4,22.7,33.9,34,10.3,89.7,10.3,0,0.03,0,1093
HM_066,8007007,6686138,3520,3170,350,65.13,44.95,2.8,21.7,8.4,6.2,60.8,22.4,77.6,22.4,0,0.01,0,7684
MS_063,4406020,4092757,4168,3293,875,57.32,51.47,2.1,1.8,11,15.6,69.5,13.9,86.1,13.8,0.1,0.01,0,5957
HM_002,717805,521780,3375,3297,78,40.83,40.05,7.6,0.2,21.7,17.9,52.6,6.4,93.6,6.4,0,0,0,1853
RM_175,12299317,11360613,5433,3620,1813,58.68,55.81,0.7,0.6,75.4,20,3.3,10.4,89.6,10.2,0.3,0.01,0,8507
HM_057,4265875,2201323,126203,3935,122268,40.86,50.15,5.9,4.6,25.4,26.9,37.2,NA,NA,NA,NA,NA,NA,NA
MS_062,4135080,3744231,4880,3959,921,60.3,51.83,2.1,0.9,10.6,6,80.4,7.4,92.6,7.3,0.1,0.04,0,4667
MS_032,478059,429874,4183,4128,55,53.74,55.7,1.3,7.4,32.3,32.9,26.1,18,82,17.9,0.1,0.02,0,2725
HM_020,786132,430369,4228,4163,65,37.91,37.24,17.8,2,5.6,9.1,65.5,8.6,91.4,8.6,0,0,0,1498
MV_028,35143,24292,4376,4365,11,43.52,45.83,NA,NA,NA,NA,NA,14.1,85.9,14,0,0.02,0,271
MS_105,129393,86116,4634,4590,44,43.87,43.64,0,0,0,0,100,8.3,91.7,8.2,0,0.02,0,1127
RM_056,542844,401572,4863,4727,136,42.47,43.42,2.6,0.4,10.6,7.9,78.4,9.1,90.9,9.1,0,0,0,2157
RM_126,2469321,2357419,5249,5050,199,64.05,57.77,5.4,3.7,24.3,22.7,43.8,11.6,88.4,11.5,0.1,0.01,0,7049
MV_290,470633,419786,5723,5448,275,49.8,50.62,4.8,8.3,30.5,31.8,24.7,10.9,89.1,10.8,0,0.03,0,1805
RM_102,6496266,5770543,26509,5951,20558,64.1,69.22,24.9,4.6,7.9,9.5,53.1,18.4,81.6,18.3,0,0.04,0,8279
DM_028,8418268,6604760,6934,6096,838,52.28,47.32,8.6,3.4,10.5,20.3,57.2,20.9,79.2,20.8,0,0,0,7295
MV_234,589085,469999,6793,6177,616,43.17,43.77,1.3,23.6,28.3,33.6,13.1,28.5,71.6,28.4,0,0.02,0,2612
MV_235,33297,18968,6545,6235,310,41.77,44.2,NA,NA,NA,NA,NA,7.6,92.4,7.3,0,0.31,0,231
HM_040,8100702,4759417,8087,6633,1454,51.63,41.56,3.5,18.9,3.5,3.7,70.5,17.7,82.3,17.6,0,0.05,0,7087
DM_027,5011442,4515942,7082,6682,400,58.69,47.18,7.7,3.1,8.3,19.1,61.9,21.3,78.7,21.2,0,0.01,0,6858
MV_111,116177,81823,6741,6694,47,41.28,43.03,0,4.6,12,39.9,43.6,8.4,91.6,8.4,0,0.01,0,530
HM_048,3042714,2637591,7823,6789,1034,47.34,46.8,3.6,5.3,23.5,31.8,35.8,6.8,93.3,6.7,0,0.03,0,5115
MV_148,973772,815089,8311,6798,1513,52.91,54.14,2.6,1.6,17,15.8,63,4.9,95.1,4.7,0,0.13,0,1779
MV_070,7310736,6686953,12448,7301,5147,55.05,54.8,4.1,1.8,49.6,13.7,30.8,8.8,91.2,8.7,0,0.01,0,8161
HM_036,1894623,1638117,7722,7366,356,59.75,51.22,18.2,10.2,15.1,7.2,49.2,30.5,69.5,28.1,2.2,0.01,0.1,5546
RM_146,1212822,724434,7632,7395,237,43.68,47.29,4.4,9.3,17.3,19.6,49.4,11.4,88.6,11.4,0,0.02,0,2358
RM_202,297551,187692,7634,7438,196,41.57,42.54,19.7,6.1,34.3,26.6,13.2,10.2,89.8,10.1,0,0.01,0,1342
HM_043,5221662,3645067,7824,7619,205,43.69,41.62,0.7,5.3,19.6,26.1,48.3,3.5,96.5,3.4,0,0,0,3180
MV_055,1693109,1597788,8322,8195,127,57.69,54.7,5.9,2.4,40.6,12.4,38.7,11.4,88.6,11.4,0,0.01,0,5885
MS_108,631108,543673,8557,8310,247,52.14,49.38,8,7.6,18.7,30.5,35.2,19.8,80.2,19.8,0,0.01,0,2945
HM_078,19986500,18061827,9328,8794,534,59.12,49.35,4.2,1.2,10.7,8.7,75.3,3.9,96.1,3.8,0,0.01,0,8823
RM_153,1127207,754816,9277,8817,460,38.52,38.4,11.1,1.6,17.5,27.8,42,4,96,4,0,0,0,2299
DM_006,2831046,2600708,9092,8935,157,55.11,51.97,0.9,3.8,15.5,23.8,56.1,13.7,86.3,13.5,0.2,0.01,0,6365
DM_022,11084614,9587449,9494,9034,460,55.56,49.11,8.1,2.1,29.3,16.1,44.4,7.6,92.4,6.5,1,0,0,8709
MV_048,4305005,3869075,9421,9220,201,63.36,51.81,7,6,27.9,24.4,34.8,37.2,62.8,37.1,0,0,0,5767
HM_076,27002553,21881156,11083,9243,1840,46.07,43.46,6.3,6.6,16.8,18.9,51.4,9.3,90.7,9,0.3,0,0,9233
MV_230,165043,132336,10520,10323,197,45.03,47.48,6.6,11.8,0,0,81.6,5.8,94.2,5.7,0.1,0.05,0,839
RM_129,475454,426259,10783,10474,309,53.96,55.46,0.3,11.3,9.2,23.7,55.4,13.3,86.8,13.2,0,0.03,0,3438
MV_214,9715885,8559239,13396,10494,2902,59.14,56.83,5.7,13.8,8.9,8.1,63.4,20.4,79.6,20.4,0,0.02,0,8540
RM_105,5742834,4849683,16243,10794,5449,53.4,48.64,3.4,3.3,41.4,37.2,14.7,10.5,89.5,10.4,0,0.02,0,7741
DM_019,7803274,7142275,11485,11128,357,56.66,54.05,6,2.6,19.3,16.2,55.9,10.2,89.8,8.4,1.8,0.01,0,8484
HM_031,8242455,6702377,11812,11606,206,55.38,45.16,6.7,2.1,25.2,20.9,45,7.5,92.5,7.1,0.4,0.01,0,7661
HM_001,6064173,4353742,12039,11667,372,47.98,43.66,5.7,24.6,8.5,6.7,54.5,27.8,72.2,27.7,0,0.01,0,6223
RM_034,2109400,1695918,12585,12001,584,45.16,44.27,4.2,1.2,17.7,15.5,61.3,6.7,93.3,6.7,0,0,0,4702
MV_124,689506,452191,12351,12080,271,39.6,40.25,0.9,4.5,29,25.6,40,11.9,88.1,11.9,0,0.01,0,1685
DM_008,3482778,3271784,12267,12147,120,58.31,56.39,2.3,2.7,20.8,17.4,56.8,11,89,8.4,2.5,0.01,0,7207
MS_039,3166306,2925981,18631,12689,5942,65.3,60.37,3.1,2.4,4.1,7.4,83,7.7,92.3,7.6,0,0.06,0,6073
MV_096,891704,734622,14095,12891,1204,44.48,43.35,25.2,5.2,15.2,9,45.3,10,90,10,0,0.01,0,3817
HM_090,9482461,8978082,14022,13786,236,58.1,48.21,3.2,1.1,16.2,8.2,71.3,4.9,95.1,4.9,0,0.01,0,7784
MV_091,4186100,3641162,15250,13889,1361,56.42,51.9,7.4,2.9,40.2,14.1,35.4,9.2,90.8,9.2,0,0.01,0,7382
MV_017,194357,126073,14134,14038,96,41.1,43.87,2.4,3.7,1.2,0,92.7,22.5,77.6,22.4,0,0.02,0,789
RM_149,986944,696282,14868,14283,585,45.79,50.25,4.9,1.6,19.6,7.2,66.8,10.5,89.5,10.4,0.1,0.03,0,2669
RM_109,2228155,1999955,21896,14514,7382,66.78,55.33,27.5,13,6.8,5.8,46.8,35.7,64.3,35.5,0,0.09,0,6760
MV_058,1276046,1186134,15434,15002,432,62.28,53.37,0.2,1.2,44.8,17.7,36.1,12.5,87.5,12.4,0,0.02,0,5611
HM_083,3865609,3641515,15461,15250,211,56.01,49.6,0.5,0.3,22.1,9.6,67.6,2.7,97.3,2.7,0,0.01,0,6160
RM_123,7492872,6958067,15954,15366,588,65.62,59.26,5.9,2.9,18.9,17.6,54.6,10.3,89.7,10.2,0.1,0.01,0,8881
RM_101,4539271,3682439,40206,16137,24069,59.09,59.33,6.6,5.8,21.9,39.9,25.8,13.7,86.3,13.6,0,0.05,0,7579
RM_167,4090174,3715358,17933,17179,754,48.72,47.92,5.1,4.1,23.3,25,42.5,6.6,93.4,6.4,0.2,0.01,0,6990
RM_172,7118392,6275604,21548,17306,4242,49.61,50.9,3.3,3.1,16.5,18.2,58.9,7.4,92.7,7.3,0,0.02,0,6908
HM_039,12004609,9646242,18179,17785,394,56.07,50.37,11.7,7.1,1.5,1.7,78,20.7,79.3,20.7,0,0.01,0,7367
MV_107,120459,69203,17957,17866,91,41.29,43.75,5.9,11.3,5.9,41.9,34.9,9.9,90.1,9.9,0,0.02,0,630
HM_075,9880384,784992,18719,18350,369,57.78,56.73,1.6,6.7,23.2,23.7,44.8,5.1,95,4.9,0,0.08,0,3275
DM_015,4745999,4428043,18863,18356,507,60.81,52.11,5.5,2.3,26,20.4,45.8,10.6,89.4,10,0.5,0.01,0,8179
RM_189,24572649,21761978,24752,18457,6295,53.11,50.41,0.9,1.4,68.2,22.4,7.1,11.4,88.6,11.3,0.1,0.01,0,9327
MV_227,595755,495924,18855,18594,261,43.72,42.08,0,0,56.1,11.7,32.2,5.1,94.9,5,0.1,0.01,0,2619
HM_003,1491369,1072908,31655,18702,12953,53.08,53.44,8.3,14.2,9.9,11.4,56.2,18.1,81.9,17.6,0,0.45,0,4263
DM_004,4449271,4234114,19187,19030,157,60.63,53.06,6.9,2.5,26.9,15.6,48.1,8.8,91.3,6.6,2.1,0.01,0,7989
MS_029,11801908,8409667,20086,19099,987,44.94,44.6,6.8,4.6,22.3,21.5,44.8,15.2,84.8,15.1,0,0,0,7043
HM_089,13980584,11757634,20686,19297,1389,48.33,45.55,3.5,1.3,25.8,14.2,55.2,2.6,97.4,2.6,0,0.01,0,7671
MV_244,1031864,664953,29921,20781,9140,41.4,43.76,7.8,5.6,2,3.3,81.3,11.1,88.9,11,0,0.03,0,2624
MV_113,5719521,5513138,20922,20808,114,59.89,60.89,6.5,2.6,14.6,13.3,63,7.9,92.1,7.8,0.1,0,0,7572
MV_231,4605560,4251911,21342,20872,470,60.82,48.28,11.5,16.7,10.8,5.6,55.5,44.1,55.9,43,1.1,0.01,0,7059
MV_204,1204016,984985,21503,21204,299,47.97,46.26,1.1,0.6,41.3,5.7,51.4,7.9,92.1,7.4,0.5,0.01,0,4661
HM_070,5917466,5647128,22811,21577,1234,56.96,53.23,3.8,3.5,10.1,7.7,74.9,2.2,97.8,2.2,0.1,0.01,0,6939
MV_208,11823236,10528218,24070,21719,2351,54.13,50.48,3.6,1.7,42.7,20.3,31.7,6.5,93.6,5.6,0.8,0.02,0,8411
RM_107,9822882,8415452,59193,21905,37288,62.53,55.99,26.5,5.1,6.1,4.6,57.7,22.1,77.9,22,0,0.06,0,8265
RM_145,2367762,1685442,22914,22378,536,42.77,42.36,8,4.6,36.9,27.3,23.3,10.8,89.3,10.7,0,0.01,0,3901
RM_155,5188568,3686101,23560,22683,877,42.95,46.33,10.3,3.8,25.6,21.9,38.4,10.9,89.1,10.9,0,0.01,0,6301
HM_074,13883591,12459094,24304,22732,1572,49.49,45.88,3.2,2.6,24.6,18.1,51.5,5.7,94.3,5.7,0,0.01,0,8100
MV_209,5324561,4952841,23758,23487,271,63.23,58.67,2.6,2.7,29.6,22,43.2,11.4,88.7,9.1,2.2,0.01,0,8192
HM_084,15492270,14662327,23961,23561,400,64.29,53.48,3.4,0.9,13.3,7.1,75.2,3.9,96.2,3.8,0,0.01,0,8615
HM_080,15564056,12918798,24558,23681,877,58.47,48.48,6.6,1.5,10.5,7.4,74.1,5.3,94.7,5.1,0.1,0.01,0,9008
RM_030,1562985,1206005,25102,24744,358,42.19,43.29,4.5,4.2,24.8,18.9,47.6,7.1,92.9,7.1,0,0,0,3612
HM_014,429699,321500,26290,24800,1490,43.79,45.04,9.3,4.2,15.8,27.2,43.4,3.9,96.1,3.8,0,0.05,0,1381
MS_133,9131933,8604751,30217,25746,4471,69.59,59.45,4.4,1.5,33.1,11.9,49.1,3.8,96.2,3.7,0,0.01,0,8320
RM_104,11958783,9844484,41810,25839,15971,58.01,47.94,18.8,2.8,11.9,9.3,57.2,9.9,90.1,9.8,0,0.02,0,8490
MV_077,7223670,6582575,31035,26190,4845,57.39,48.41,7.2,2.6,19.8,19.4,50.9,9.5,90.5,9.3,0,0.12,0,8384
