DNA_input_ug,species,Pigmented_extract,order,diet_category,PC1_scaled,PC2_scaled,pred.success,total,success,real.success
0,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.452750324440012,8,2,25
0.05,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.464919369386835,7,3,42.9
0.1,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.456901224979801,2,0,0
0.15,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.433191909603819,2,0,0
0.2,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.419689958879647,NA,NA,NA
0.25,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.381415178709442,NA,NA,NA
0.3,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.33200782680209,1,0,0
0.35,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.309535895441269,1,0,0
0.4,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.312770623675998,NA,NA,NA
0.45,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.316235430474138,NA,NA,NA
0.5,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.32703789960994,NA,NA,NA
0.55,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.332270115953268,NA,NA,NA
0.6,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.340228669745155,NA,NA,NA
0.65,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.343733960750446,NA,NA,NA
0.7,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.355464795669686,NA,NA,NA
0.75,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.36021788208944,NA,NA,NA
0.8,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.370894179109823,NA,NA,NA
0.85,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.377762865978509,NA,NA,NA
0.9,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.384707310422954,NA,NA,NA
0.95,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.387485088200732,NA,NA,NA
1,hypothetical species 1,TRUE,Artiodactyla,Herbivore,-0.5,-1,0.401006546166634,NA,NA,NA
0,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.504394206616429,1,0,0
0.05,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.505446796002352,2,1,50
0.1,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.516954999732778,3,1,33.3
0.15,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.513596413874192,1,1,100
0.2,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.497586045641601,1,0,0
0.25,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.492446822724601,1,1,100
0.3,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.462126422959756,NA,NA,NA
0.35,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.444440035273369,NA,NA,NA
0.4,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.444976484420929,NA,NA,NA
0.45,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.437926487093154,NA,NA,NA
0.5,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.445143097643098,NA,NA,NA
0.55,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.448352974186308,NA,NA,NA
0.6,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.453702768424991,NA,NA,NA
0.65,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.456612821335044,NA,NA,NA
0.7,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.45919419058308,NA,NA,NA
0.75,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.466910239965796,NA,NA,NA
0.8,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.473083079471968,NA,NA,NA
0.85,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.478881807492919,NA,NA,NA
0.9,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.478881807492919,NA,NA,NA
0.95,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.482607957885736,NA,NA,NA
1,hypothetical species 2,TRUE,Primates,Frugivore,-0.5,1,0.493031238309016,NA,NA,NA
0,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.587107701207459,19,14,73.7
0.05,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.603905574116444,8,7,87.5
0.1,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.634098685006954,5,2,40
0.15,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.621838969413905,5,5,100
0.2,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.622116356635736,3,3,100
0.25,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.639059331356489,4,3,75
0.3,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.643734974643243,2,2,100
0.35,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.661894802257093,NA,NA,NA
0.4,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.680366089424033,1,1,100
0.45,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.670199589257533,1,1,100
0.5,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.676079809859976,NA,NA,NA
0.55,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.673803207861152,NA,NA,NA
0.6,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.674891481727203,1,0,0
0.65,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.681431217711384,2,2,100
0.7,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.698965956635012,NA,NA,NA
0.75,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.704324600486563,NA,NA,NA
0.8,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.713536485736184,NA,NA,NA
0.85,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.72857483216342,NA,NA,NA
0.9,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.739422523566667,NA,NA,NA
0.95,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.745842276653086,NA,NA,NA
1,hypothetical species 1,FALSE,Artiodactyla,Herbivore,-0.5,-1,0.753350694161504,NA,NA,NA
0,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.827004179056152,11,11,100
0.05,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.824414258688454,19,17,89.5
0.1,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.811886200327062,6,6,100
0.15,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.810293420678727,5,4,80
0.2,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.78626677859653,4,4,100
0.25,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.770189604741578,4,3,75
0.3,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.754605456379652,NA,NA,NA
0.35,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.752064036893788,1,1,100
0.4,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.767675755645603,NA,NA,NA
0.45,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.768392312751049,NA,NA,NA
0.5,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.770725699528881,NA,NA,NA
0.55,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.784289686981757,NA,NA,NA
0.6,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.790470275940124,NA,NA,NA
0.65,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.795249015718863,NA,NA,NA
0.7,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.803244312603049,NA,NA,NA
0.75,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.809493577741203,NA,NA,NA
0.8,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.814511214425507,NA,NA,NA
0.85,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.829190814660662,NA,NA,NA
0.9,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.834897885367733,NA,NA,NA
0.95,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.840809782112963,NA,NA,NA
1,hypothetical species 2,FALSE,Primates,Frugivore,-0.5,1,0.846877603180784,1,1,100
0,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.980218053226825,13,12,92.3
0.05,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.988643845541506,9,9,100
0.1,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.986744962531512,5,5,100
0.15,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.982961626525954,2,2,100
0.2,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.982038640047412,7,7,100
0.25,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.976733163630824,1,1,100
0.3,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.972273621115726,1,1,100
0.35,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.958848897691003,5,5,100
0.4,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.956364396595391,3,2,66.7
0.45,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.938071814691698,1,1,100
0.5,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.939532853652737,1,1,100
0.55,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.941609172395722,NA,NA,NA
0.6,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.942118231238114,1,1,100
0.65,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.943238160691377,NA,NA,NA
0.7,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.94713679616896,NA,NA,NA
0.75,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.949194409337684,NA,NA,NA
0.8,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.950428977238919,1,1,100
0.85,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.954573598050206,NA,NA,NA
0.9,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.957185183995125,NA,NA,NA
0.95,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.960295653772262,1,1,100
1,hypothetical species 3,FALSE,Carnivora,Animalivore,2.5,0,0.962919110562385,NA,NA,NA
0.7,NA,TRUE,Carnivora,Animalivore,NA,NA,NA,1,0,0
